    ddm_tol=1e-12,
SCF ddm_tol = 1e-12
SCF ddm_tol = 1e-10
cycle= 113 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 1.22e-12  |ddm|= 1.65e-11
cycle= 114 E= -37.2967953880986  delta_E= 2.13e-14  |g|= 2.84e-12  |ddm|= 6.15e-12
cycle= 115 E= -37.2967953880987  delta_E= -2.84e-14  |g|= 1.92e-12  |ddm|= 1.63e-11
cycle= 116 E= -37.2967953880986  delta_E= 3.55e-14  |g|= 2.68e-12  |ddm|= 6.62e-12
cycle= 117 E= -37.2967953880987  delta_E= -2.13e-14  |g|= 1.67e-12  |ddm|= 1.03e-11
cycle= 118 E= -37.2967953880987  delta_E=    0  |g|= 2.65e-12  |ddm|= 1.38e-11
cycle= 119 E= -37.2967953880987  delta_E=    0  |g|= 1.19e-12  |ddm|= 2.85e-11
cycle= 120 E= -37.2967953880987  delta_E=    0  |g|= 1.94e-12  |ddm|= 1.72e-11
cycle= 121 E= -37.2967953880987  delta_E= 7.11e-15  |g|= 1.85e-12  |ddm|= 1.55e-11
cycle= 122 E= -37.2967953880987  delta_E= -2.13e-14  |g|= 1.66e-12  |ddm|= 1.41e-11
cycle= 123 E= -37.2967953880987  delta_E= -1.42e-14  |g|= 3.45e-12  |ddm|= 3.53e-11
cycle= 124 E= -37.2967953880987  delta_E=    0  |g|= 1.47e-12  |ddm|= 3.16e-11
cycle= 125 E= -37.2967953880986  delta_E= 7.11e-14  |g|= 1.74e-12  |ddm|= 1.26e-11
cycle= 126 E= -37.2967953880987  delta_E= -3.55e-14  |g|= 2.35e-12  |ddm|= 1.59e-11
cycle= 127 E= -37.2967953880987  delta_E= -4.26e-14  |g|= 3.32e-12  |ddm|= 1.9e-11
cycle= 128 E= -37.2967953880986  delta_E= 4.97e-14  |g|= 3.3e-12  |ddm|= 2.21e-11
cycle= 129 E= -37.2967953880987  delta_E= -1.42e-14  |g|= 2.35e-12  |ddm|= 2.91e-12
cycle= 130 E= -37.2967953880986  delta_E= 2.84e-14  |g|= 2.37e-12  |ddm|= 3.93e-12
cycle= 131 E= -37.2967953880987  delta_E= -5.68e-14  |g|= 1.97e-12  |ddm|= 1.08e-11
cycle= 132 E= -37.2967953880987  delta_E= 3.55e-14  |g|= 2.49e-12  |ddm|= 2.01e-11
cycle= 133 E= -37.2967953880986  delta_E= 2.13e-14  |g|= 1.3e-12  |ddm|= 8.44e-12
cycle= 134 E= -37.2967953880987  delta_E= -5.68e-14  |g|= 8.74e-13  |ddm|= 5.57e-12
cycle= 135 E= -37.2967953880987  delta_E= 2.84e-14  |g|= 1.44e-12  |ddm|= 1.43e-12
cycle= 136 E= -37.2967953880987  delta_E= -1.42e-14  |g|= 1.08e-12  |ddm|= 9.43e-12
cycle= 137 E= -37.2967953880987  delta_E= -1.42e-14  |g|= 1.98e-12  |ddm|= 1.16e-11
cycle= 138 E= -37.2967953880987  delta_E= 2.84e-14  |g|= 1.43e-12  |ddm|= 1.63e-11
cycle= 139 E= -37.2967953880987  delta_E= -1.42e-14  |g|= 1.56e-12  |ddm|= 1.72e-11
cycle= 140 E= -37.2967953880987  delta_E= 7.11e-15  |g|= 1.6e-12  |ddm|= 4.82e-12
cycle= 141 E= -37.2967953880987  delta_E= -1.42e-14  |g|= 1.01e-12  |ddm|= 1.03e-11
cycle= 142 E= -37.2967953880986  delta_E= 3.55e-14  |g|= 2.26e-12  |ddm|= 1.95e-11
cycle= 143 E= -37.2967953880987  delta_E= -2.13e-14  |g|= 1.55e-12  |ddm|= 1.53e-11
cycle= 144 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 2.18e-12  |ddm|= 1.41e-11
cycle= 145 E= -37.2967953880987  delta_E= 7.11e-15  |g|= 2.38e-12  |ddm|= 6.1e-12
cycle= 146 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 8.43e-13  |ddm|= 9.49e-12
cycle= 147 E= -37.2967953880987  delta_E= 7.11e-15  |g|= 2.34e-12  |ddm|= 1.38e-11
cycle= 148 E= -37.2967953880987  delta_E= -1.42e-14  |g|= 1.83e-12  |ddm|= 1.01e-11
cycle= 149 E= -37.2967953880986  delta_E= 3.55e-14  |g|= 1.44e-12  |ddm|= 6.05e-12
cycle= 150 E= -37.2967953880987  delta_E= -3.55e-14  |g|= 1.63e-12  |ddm|= 1.65e-11
cycle= 151 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 9.68e-13  |ddm|= 1.22e-11
cycle= 152 E= -37.2967953880987  delta_E= 2.13e-14  |g|= 2.2e-12  |ddm|= 2.15e-11
cycle= 153 E= -37.2967953880986  delta_E= 3.55e-14  |g|= 1.39e-12  |ddm|= 6.77e-12
cycle= 154 E= -37.2967953880987  delta_E= -4.97e-14  |g|= 2.21e-12  |ddm|= 2.12e-11
cycle= 155 E= -37.2967953880986  delta_E= 7.82e-14  |g|= 1.68e-12  |ddm|= 2.86e-11
cycle= 156 E= -37.2967953880986  delta_E= -4.26e-14  |g|= 1e-12  |ddm|= 1.58e-11
cycle= 157 E= -37.2967953880986  delta_E=    0  |g|= 1.45e-12  |ddm|= 4.31e-12
cycle= 158 E= -37.2967953880987  delta_E= -1.42e-14  |g|= 1.35e-12  |ddm|= 9.23e-12
cycle= 159 E= -37.2967953880986  delta_E= 1.42e-14  |g|= 1.78e-12  |ddm|= 1.7e-11
cycle= 160 E= -37.2967953880986  delta_E= 7.11e-15  |g|= 2.7e-12  |ddm|= 2.08e-11
cycle= 161 E= -37.2967953880986  delta_E=    0  |g|= 1.06e-12  |ddm|= 5.98e-12
cycle= 162 E= -37.2967953880986  delta_E= 2.13e-14  |g|= 1.2e-12  |ddm|= 1.15e-11
cycle= 163 E= -37.2967953880987  delta_E= -4.26e-14  |g|= 1.38e-12  |ddm|= 9.8e-12
cycle= 164 E= -37.2967953880986  delta_E= 2.84e-14  |g|= 2.19e-12  |ddm|= 5.15e-12
cycle= 165 E= -37.2967953880987  delta_E= -2.13e-14  |g|= 2.55e-12  |ddm|= 1.41e-11
cycle= 166 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 1.1e-12  |ddm|= 1.38e-11
cycle= 167 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 1.72e-12  |ddm|= 9.01e-12
cycle= 168 E= -37.2967953880987  delta_E= -1.42e-14  |g|= 2.33e-12  |ddm|= 9.83e-12
cycle= 169 E= -37.2967953880987  delta_E= 2.13e-14  |g|= 2.61e-12  |ddm|= 4.5e-12
cycle= 170 E= -37.2967953880987  delta_E= -2.84e-14  |g|= 1.29e-12  |ddm|= 4.53e-12
cycle= 171 E= -37.2967953880986  delta_E= 6.39e-14  |g|= 2.09e-12  |ddm|= 4.62e-12
cycle= 172 E= -37.2967953880987  delta_E= -4.97e-14  |g|= 2.41e-12  |ddm|= 6.56e-12
